Category,Artist,Title,Year,Image URL,Painting Info URL,file name,path
Magic Realism,Cagnaccio di San Pietro,Le lacrime della cipolla,1929,https://use2-uploads5.wikiart.org/images/cagnaccio-di-san-pietro/le-lacrime-della-cipolla-1929.jpg,https://www.wikiart.org/en/cagnaccio-di-san-pietro/le-lacrime-della-cipolla-1929,le-lacrime-della-cipolla-1929.jpg,/magic_realism/le-lacrime-della-cipolla-1929.jpg
Pop Art,Stuart Davis,Rapt at Rappaport&#39;s,1952,https://use2-uploads7.wikiart.org/images/stuart-davis/rapt-at-rappaport-s-1952.jpg,https://www.wikiart.org/en/stuart-davis/rapt-at-rappaport-s-1952,rapt-at-rappaport-s-1952.jpg,/pop_art/rapt-at-rappaport-s-1952.jpg
Rococo,Francois Boucher,Odalisque,1749,https://use2-uploads5.wikiart.org/images/francois-boucher/odalisque.jpg,https://www.wikiart.org/en/francois-boucher/odalisque,odalisque.jpg,/rococo/odalisque.jpg
"Color Field Painting,Lyrical Abstraction",Helen Frankenthaler,Robinson&#39;s Wrap,1974,https://use2-uploads1.wikiart.org/images/helen-frankenthaler/robinson-s-wrap-1974.jpg,https://www.wikiart.org/en/helen-frankenthaler/robinson-s-wrap-1974,robinson-s-wrap-1974.jpg,/color_field_painting/robinson-s-wrap-1974.jpg
Impressionism,James McNeill Whistler,Mother of Pearl and Silver: The Andalusian,1888-1890,https://use2-uploads3.wikiart.org/images/james-mcneill-whistler/mother-of-pearl-and-silver-the-andalusian-1890.jpg,https://www.wikiart.org/en/james-mcneill-whistler/mother-of-pearl-and-silver-the-andalusian-1890,mother-of-pearl-and-silver-the-andalusian-1890.jpg,/impressionism/mother-of-pearl-and-silver-the-andalusian-1890.jpg
Impressionism,Claude Monet,Haystack at Giverny,1886,https://use2-uploads7.wikiart.org/images/claude-monet/haystack-at-giverny-1886.jpg,https://www.wikiart.org/en/claude-monet/haystack-at-giverny-1886,haystack-at-giverny-1886.jpg,/impressionism/haystack-at-giverny-1886.jpg
Expressionism,August Macke,Terrace of the country house in St. Germain,1914,https://use2-uploads7.wikiart.org/images/august-macke/terrace-of-the-country-house-in-st-germain.jpg,https://www.wikiart.org/en/august-macke/terrace-of-the-country-house-in-st-germain,terrace-of-the-country-house-in-st-germain.jpg,/expressionism/terrace-of-the-country-house-in-st-germain.jpg
Post-Impressionism,Gwen John,The Cat,1905-1908,https://use2-uploads5.wikiart.org/images/gwen-john/the-cat.jpg,https://www.wikiart.org/en/gwen-john/the-cat,the-cat.jpg,/post_impressionism/the-cat.jpg
Baroque,Artemisia Gentileschi,Self-portrait as a Female Martyr,1615,https://use2-uploads2.wikiart.org/images/artemisia-gentileschi/self-portrait-as-a-female-martyr-1615.jpg,https://www.wikiart.org/en/artemisia-gentileschi/self-portrait-as-a-female-martyr-1615,self-portrait-as-a-female-martyr-1615.jpg,/baroque/self-portrait-as-a-female-martyr-1615.jpg
Neoclassicism,Antonio Canova,Napoleon as Mars the Peacemaker,1806,https://use2-uploads3.wikiart.org/images/antonio-canova/napoleon-as-mars-the-peacemaker-1806.jpg,https://www.wikiart.org/en/antonio-canova/napoleon-as-mars-the-peacemaker-1806,napoleon-as-mars-the-peacemaker-1806.jpg,/neoclassicism/napoleon-as-mars-the-peacemaker-1806.jpg
Romanticism,Thomas Girtin,"Bamburgh Castle, Northumberland",1799,https://use2-uploads1.wikiart.org/images/thomas-girtin/bamburgh-castle-northumberland-1799.jpg,https://www.wikiart.org/en/thomas-girtin/bamburgh-castle-northumberland-1799,bamburgh-castle-northumberland-1799.jpg,/romanticism/bamburgh-castle-northumberland-1799.jpg
Baroque,Francisco de Zurbaran,Adoration of the Magi,1639-1640,https://use2-uploads6.wikiart.org/images/francisco-zurbaran/adoration-of-the-magi-1640.jpg,https://www.wikiart.org/en/francisco-de-zurbaran/adoration-of-the-magi-1640,adoration-of-the-magi-1640.jpg,/baroque/adoration-of-the-magi-1640.jpg
Northern Renaissance,Hieronymus Bosch,The Garden of&#160;Earthly Delights,1510-1515,https://use2-uploads6.wikiart.org/images/hieronymus-bosch/the-garden-of-earthly-delights-1515-7.jpg,https://www.wikiart.org/en/hieronymus-bosch/the-garden-of-earthly-delights-1515-7,the-garden-of-earthly-delights-1515-7.jpg,/northern_renaissance/the-garden-of-earthly-delights-1515-7.jpg
Realism,Gustave Courbet,The Meeting (Bonjour Monsieur Courbet),1854,https://use2-uploads0.wikiart.org/images/gustave-courbet/the-meeting-bonjour-monsieur-courbet-1854.jpg,https://www.wikiart.org/en/gustave-courbet/the-meeting-bonjour-monsieur-courbet-1854,the-meeting-bonjour-monsieur-courbet-1854.jpg,/realism/the-meeting-bonjour-monsieur-courbet-1854.jpg
Abstract Art,Wassily Kandinsky,Composition IV,1911,https://use2-uploads7.wikiart.org/images/wassily-kandinsky/composition-iv-1911.jpg,https://www.wikiart.org/en/wassily-kandinsky/composition-iv-1911,composition-iv-1911.jpg,/abstract_art/composition-iv-1911.jpg
Early Renaissance,Filippo Lippi,The Adoration of the Infant Jesus,1459,https://use2-uploads4.wikiart.org/images/filippo-lippi/the-adoration-of-the-infant-jesus-1459.jpg,https://www.wikiart.org/en/filippo-lippi/the-adoration-of-the-infant-jesus-1459,the-adoration-of-the-infant-jesus-1459.jpg,/early_renaissance/the-adoration-of-the-infant-jesus-1459.jpg
Romanticism,John Hoppner,Captain Peter Parker,1808,https://use2-uploads8.wikiart.org/images/john-hoppner/captain-peter-parker-1808.jpg,https://www.wikiart.org/en/john-hoppner/captain-peter-parker-1808,captain-peter-parker-1808.jpg,/romanticism/captain-peter-parker-1808.jpg
Impressionism,Mary Cassatt,In the Box,1879,https://use2-uploads2.wikiart.org/images/mary-cassatt/in-the-box.jpg,https://www.wikiart.org/en/mary-cassatt/in-the-box,in-the-box.jpg,/impressionism/in-the-box.jpg
Romanticism,Anne-Louis Girodet,Ossian receiving the Ghosts of the French Heroes,1801,https://use2-uploads0.wikiart.org/images/anne-louis-girodet/ossian-receiving-the-ghosts-of-the-french-heroes-1801(1).jpg,https://www.wikiart.org/en/anne-louis-girodet/ossian-receiving-the-ghosts-of-the-french-heroes-1801,ossian-receiving-the-ghosts-of-the-french-heroes-1801(1).jpg,/romanticism/ossian-receiving-the-ghosts-of-the-french-heroes-1801(1).jpg
Abstract Art,Serge Charchoune,The Small Black Holes,1927,https://use2-uploads4.wikiart.org/images/serge-charchoune/the-small-black-holes-1927.jpg,https://www.wikiart.org/en/serge-charchoune/the-small-black-holes-1927,the-small-black-holes-1927.jpg,/abstract_art/the-small-black-holes-1927.jpg
Minimalism,John McLaughlin,Number 17,1962,https://use2-uploads0.wikiart.org/images/john-mclaughlin/number-17-1962.jpg,https://www.wikiart.org/en/john-mclaughlin/number-17-1962,number-17-1962.jpg,/minimalism/number-17-1962.jpg
Minimalism,Agnes Martin,The Peach,1964,https://use2-uploads6.wikiart.org/images/agnes-martin/the-peach-1964.jpg,https://www.wikiart.org/en/agnes-martin/the-peach-1964,the-peach-1964.jpg,/minimalism/the-peach-1964.jpg
Neoclassicism,Benjamin West,Edward III Crossing the Somme,XVIII-XIX cent.,https://use2-uploads4.wikiart.org/images/benjamin-west/edward-iii-crossing-the-somme.jpg,https://www.wikiart.org/en/benjamin-west/edward-iii-crossing-the-somme,edward-iii-crossing-the-somme.jpg,/neoclassicism/edward-iii-crossing-the-somme.jpg
Color Field Painting,Morris Louis,Delta Theta,1961,https://use2-uploads8.wikiart.org/images/morris-louis/delta-theta-1961.jpg,https://www.wikiart.org/en/morris-louis/delta-theta-1961,delta-theta-1961.jpg,/color_field_painting/delta-theta-1961.jpg
Minimalism,Charlotte Posenenske,Series DW,1967,https://use2-uploads8.wikiart.org/images/charlotte-posenenske/series-dw-1967(1).jpg,https://www.wikiart.org/en/charlotte-posenenske/series-dw-1967,series-dw-1967(1).jpg,/minimalism/series-dw-1967(1).jpg
"Cubism,Expressionism",Umberto Boccioni,The Street Enters the House,1911,https://use2-uploads3.wikiart.org/images/umberto-boccioni/the-street-enters-the-house-1911-1.jpg,https://www.wikiart.org/en/umberto-boccioni/the-street-enters-the-house-1911-1,the-street-enters-the-house-1911-1.jpg,/cubism/the-street-enters-the-house-1911-1.jpg
Minimalism,Michel Parmentier,15 octobre,1966,https://use2-uploads3.wikiart.org/images/michel-parmentier/15-octobre-1966.jpg,https://www.wikiart.org/en/michel-parmentier/15-octobre-1966,15-octobre-1966.jpg,/minimalism/15-octobre-1966.jpg
Pop Art,Andy Warhol,Mao,1972,https://use2-uploads5.wikiart.org/images/andy-warhol/mao-2.jpg,https://www.wikiart.org/en/andy-warhol/mao-2,mao-2.jpg,/pop_art/mao-2.jpg
Abstract Art,Julius Evola,Composizione (Paesaggio) Dada n. 3 (o n. 2),1921,https://use2-uploads7.wikiart.org/images/julius-evola/composizione-paesaggio-dada-n-3-o-n-2-1921.jpg,https://www.wikiart.org/en/julius-evola/composizione-paesaggio-dada-n-3-o-n-2-1921,composizione-paesaggio-dada-n-3-o-n-2-1921.jpg,/abstract_art/composizione-paesaggio-dada-n-3-o-n-2-1921.jpg
Baroque,Paul Bril,An Extensive Landscape,XVI-XVII cent.,https://use2-uploads2.wikiart.org/images/paul-bril/an-extensive-landscape.jpg,https://www.wikiart.org/en/paul-bril/an-extensive-landscape,an-extensive-landscape.jpg,/baroque/an-extensive-landscape.jpg
Surrealism,Victor Brauner,Visage,1941,https://use2-uploads5.wikiart.org/images/victor-brauner/visage-1941.jpg,https://www.wikiart.org/en/victor-brauner/visage-1941,visage-1941.jpg,/surrealism/visage-1941.jpg
Minimalism,Herbert Zangs,Gro&#223;e Kn&#252;pfung,1953,https://use2-uploads3.wikiart.org/images/herbert-zangs/gro-e-kn-pfung-1953.jpg,https://www.wikiart.org/en/herbert-zangs/gro-e-kn-pfung-1953,gro-e-kn-pfung-1953.jpg,/minimalism/gro-e-kn-pfung-1953.jpg
High Renaissance,Il Sodoma,The Rape of the Sabine Women,1507,https://use2-uploads4.wikiart.org/00148/images/il-sodoma/the-rape-of-the-sabine-women-1507.jpg,https://www.wikiart.org/en/il-sodoma/the-rape-of-the-sabine-women-1507,the-rape-of-the-sabine-women-1507.jpg,/high_renaissance/the-rape-of-the-sabine-women-1507.jpg
Expressionism,August Macke,View of Tegernsee,XIX-XX cent.,https://use2-uploads0.wikiart.org/images/august-macke/view-of-tegernsee.jpg,https://www.wikiart.org/en/august-macke/view-of-tegernsee,view-of-tegernsee.jpg,/expressionism/view-of-tegernsee.jpg
Art Informel,Nicolas de Sta&#235;l,Marseille under snow,1954,https://use2-uploads6.wikiart.org/images/nicolas-de-sta-l/marseille-sous-la-neige-1954.jpg,https://www.wikiart.org/en/nicolas-de-sta-l/marseille-sous-la-neige-1954,marseille-sous-la-neige-1954.jpg,/art_informel/marseille-sous-la-neige-1954.jpg
Baroque,Francisco Pacheco,The Supper with Christ and the Angels,1615,https://use2-uploads3.wikiart.org/images/francisco-pacheco/the-supper-with-christ-and-the-angels-1615.jpg,https://www.wikiart.org/en/francisco-pacheco/the-supper-with-christ-and-the-angels-1615,the-supper-with-christ-and-the-angels-1615.jpg,/baroque/the-supper-with-christ-and-the-angels-1615.jpg
Lyrical Abstraction,Kazuo Shiraga,Fluid Red,1968,https://use2-uploads7.wikiart.org/images/kazuo-shiraga/fluid-red-1968.jpg,https://www.wikiart.org/en/kazuo-shiraga/fluid-red-1968,fluid-red-1968.jpg,/lyrical_abstraction/fluid-red-1968.jpg
Impressionism,Marie Bracquemond,Three ladies with parasol (aka Three Graces),1880,https://use2-uploads8.wikiart.org/images/marie-bracquemond/three-ladies-with-parasol-aka-three-graces-1880.jpg,https://www.wikiart.org/en/marie-bracquemond/three-ladies-with-parasol-aka-three-graces-1880,three-ladies-with-parasol-aka-three-graces-1880.jpg,/impressionism/three-ladies-with-parasol-aka-three-graces-1880.jpg
Rococo,Thomas Gainsborough,Seashore with Fishermen,1781-1782,https://use2-uploads3.wikiart.org/images/thomas-gainsborough/seashore-with-fishermen-1781(1).jpg,https://www.wikiart.org/en/thomas-gainsborough/seashore-with-fishermen-1781,seashore-with-fishermen-1781(1).jpg,/rococo/seashore-with-fishermen-1781(1).jpg
Abstract Art,Otto Freundlich,Composition,1936,https://use2-uploads2.wikiart.org/images/otto-freundlich/composition-1936.jpg,https://www.wikiart.org/en/otto-freundlich/composition-1936,composition-1936.jpg,/abstract_art/composition-1936.jpg
Magic Realism,Eyvind Earle,Black Silken Hair,1995,https://use2-uploads5.wikiart.org/images/eyvind-earle/black-silken-hair-1995.jpg,https://www.wikiart.org/en/eyvind-earle/black-silken-hair-1995,black-silken-hair-1995.jpg,/magic_realism/black-silken-hair-1995.jpg
Art Informel,Leo Leuppi,Muschel-V&#246;gel,1948,https://use2-uploads8.wikiart.org/images/leo-leuppi/muschel-v-gel-1948.jpg,https://www.wikiart.org/en/leo-leuppi/muschel-v-gel-1948,muschel-v-gel-1948.jpg,/art_informel/muschel-v-gel-1948.jpg
Lyrical Abstraction,Chu Teh-Chun,&#201;clair d&#39;obscurite,1988,https://use2-uploads5.wikiart.org/images/chu-teh-chun/clair-d-obscurite-1988.jpg,https://www.wikiart.org/en/chu-teh-chun/clair-d-obscurite-1988,clair-d-obscurite-1988.jpg,/lyrical_abstraction/clair-d-obscurite-1988.jpg
Neoclassicism,Antonio Canova,Perseus with the Head of Medusa,1806,https://use2-uploads3.wikiart.org/images/antonio-canova/perseus-with-the-head-of-medusa-1806.jpg,https://www.wikiart.org/en/antonio-canova/perseus-with-the-head-of-medusa-1806,perseus-with-the-head-of-medusa-1806.jpg,/neoclassicism/perseus-with-the-head-of-medusa-1806.jpg
Northern Renaissance,Jan van Eyck,Portrait of Giovanni Arnolfini,1435,https://use2-uploads0.wikiart.org/images/jan-van-eyck/portrait-of-giovanni-arnolfini-1435.jpg,https://www.wikiart.org/en/jan-van-eyck/portrait-of-giovanni-arnolfini-1435,portrait-of-giovanni-arnolfini-1435.jpg,/northern_renaissance/portrait-of-giovanni-arnolfini-1435.jpg
Realism,Camille Corot,Temple of Minerva Medica,1826,https://use2-uploads4.wikiart.org/images/camille-corot/temple-of-minerva-medica-1826.jpg,https://www.wikiart.org/en/camille-corot/temple-of-minerva-medica-1826,temple-of-minerva-medica-1826.jpg,/realism/temple-of-minerva-medica-1826.jpg
Northern Renaissance,Jean Fouquet,Coronation of Philippe Auguste,1455-1460,https://use2-uploads0.wikiart.org/images/jean-fouquet/coronation-of-philippe-auguste-1460.jpg,https://www.wikiart.org/en/jean-fouquet/coronation-of-philippe-auguste-1460,coronation-of-philippe-auguste-1460.jpg,/northern_renaissance/coronation-of-philippe-auguste-1460.jpg
Baroque,Agostino Carracci,Democritus,XVI-XVII cent.,https://use2-uploads7.wikiart.org/images/agostino-carracci/democritus.jpg,https://www.wikiart.org/en/agostino-carracci/democritus,democritus.jpg,/baroque/democritus.jpg
Abstract Expressionism,Hedda Sterne,N.Y. 1 (Road #4),1956,https://use2-uploads0.wikiart.org/images/hedda-sterne/n-y-1-road-4-1956.jpg,https://www.wikiart.org/en/hedda-sterne/n-y-1-road-4-1956,n-y-1-road-4-1956.jpg,/abstract_expressionism/n-y-1-road-4-1956.jpg
Impressionism,Berthe Morisot,Child in the Rose Garden,1881,https://use2-uploads0.wikiart.org/images/berthe-morisot/child-in-the-rose-garden.jpg,https://www.wikiart.org/en/berthe-morisot/child-in-the-rose-garden,child-in-the-rose-garden.jpg,/impressionism/child-in-the-rose-garden.jpg
Magic Realism,Eyvind Earle,Santa Ynez Oaks,XX-XXI cent.,https://use2-uploads7.wikiart.org/images/eyvind-earle/santa-ynez-oaks.jpg,https://www.wikiart.org/en/eyvind-earle/santa-ynez-oaks,santa-ynez-oaks.jpg,/magic_realism/santa-ynez-oaks.jpg
Minimalism,Martin Barre,60-T-18,1960,https://use2-uploads4.wikiart.org/images/martin-barre/60-t-18-1960.jpg,https://www.wikiart.org/en/martin-barre/60-t-18-1960,60-t-18-1960.jpg,/minimalism/60-t-18-1960.jpg
Impressionism,Eva Gonzales,The Donkey Ride,1880,https://use2-uploads3.wikiart.org/images/eva-gonzales/the-donkey-ride-1880.jpg,https://www.wikiart.org/en/eva-gonzales/the-donkey-ride-1880,the-donkey-ride-1880.jpg,/impressionism/the-donkey-ride-1880.jpg
Realism,Pavel Fedotov,Difficult Bride,1847,https://use2-uploads8.wikiart.org/images/pavel-fedotov/difficult-bride.jpg,https://www.wikiart.org/en/pavel-fedotov/difficult-bride,difficult-bride.jpg,/realism/difficult-bride.jpg
Impressionism,Giovanni Fattori,Berittener Hirte und K&#252;he,1880,https://use2-uploads8.wikiart.org/images/giovanni-fattori/berittener-hirte-und-k-he-1880.jpg,https://www.wikiart.org/en/giovanni-fattori/berittener-hirte-und-k-he-1880,berittener-hirte-und-k-he-1880.jpg,/impressionism/berittener-hirte-und-k-he-1880.jpg
Rococo,Giovanni Battista Tiepolo,A Young Woman With a Macaw,1758-1760,https://use2-uploads4.wikiart.org/images/giovanni-battista-tiepolo/a-young-woman-with-a-macaw.jpg,https://www.wikiart.org/en/giovanni-battista-tiepolo/a-young-woman-with-a-macaw,a-young-woman-with-a-macaw.jpg,/rococo/a-young-woman-with-a-macaw.jpg
Minimalism,Dan Flavin,"Diagonal of Personal Ecstasy (the Diagonal of May 25, 1963, to Constantin Brancusi)",1963,https://use2-uploads2.wikiart.org/images/dan-flavin/diagonal-of-personal-ecstasy-the-diagonal-of-may-25-1963-to-constantin-brancusi-1963.jpg,https://www.wikiart.org/en/dan-flavin/diagonal-of-personal-ecstasy-the-diagonal-of-may-25-1963-to-constantin-brancusi-1963,diagonal-of-personal-ecstasy-the-diagonal-of-may-25-1963-to-constantin-brancusi-1963.jpg,/minimalism/diagonal-of-personal-ecstasy-the-diagonal-of-may-25-1963-to-constantin-brancusi-1963.jpg
Northern Renaissance,Joachim Patinir,Miracle of St. Catherine,1515,https://use2-uploads0.wikiart.org/images/joachim-patinir/miracle-of-st-catherine.jpg,https://www.wikiart.org/en/joachim-patinir/miracle-of-st-catherine,miracle-of-st-catherine.jpg,/northern_renaissance/miracle-of-st-catherine.jpg
Impressionism,Honore Daumier,Don Quixote and Sancho Panza in the Mountains,XIX cent.,https://use2-uploads3.wikiart.org/images/honore-daumier/don-quixote-and-sancho-panza-in-the-mountains.jpg,https://www.wikiart.org/en/honore-daumier/don-quixote-and-sancho-panza-in-the-mountains,don-quixote-and-sancho-panza-in-the-mountains.jpg,/impressionism/don-quixote-and-sancho-panza-in-the-mountains.jpg
Early Renaissance,Andrea del Castagno,Dante Alighieri,1450,https://use2-uploads5.wikiart.org/images/andrea-del-castagno/dante-alighieri.jpg,https://www.wikiart.org/en/andrea-del-castagno/dante-alighieri,dante-alighieri.jpg,/early_renaissance/dante-alighieri.jpg
Neoclassicism,Antoine-Jean Gros,Equestrian Portrait of Joachim Murat,1812,https://use2-uploads8.wikiart.org/00118/images/antoine-jean-gros/equestrian-portrait-of-joachim-murat-1812.jpg,https://www.wikiart.org/en/antoine-jean-gros/equestrian-portrait-of-joachim-murat-1812,equestrian-portrait-of-joachim-murat-1812.jpg,/neoclassicism/equestrian-portrait-of-joachim-murat-1812.jpg
Realism,Winslow Homer,The Bathers,1873,https://use2-uploads4.wikiart.org/images/winslow-homer/the-bathers.jpg,https://www.wikiart.org/en/winslow-homer/the-bathers,the-bathers.jpg,/realism/the-bathers.jpg
Impressionism,Giuseppe de Nittis,Promenade Hivernale,1878,https://use2-uploads8.wikiart.org/images/giuseppe-de-nittis/promenade-hivernale.jpg,https://www.wikiart.org/en/giuseppe-de-nittis/promenade-hivernale,promenade-hivernale.jpg,/impressionism/promenade-hivernale.jpg
Romanticism,Thomas Girtin,Lancaster,1797,https://use2-uploads7.wikiart.org/images/thomas-girtin/lancaster-1797.jpg,https://www.wikiart.org/en/thomas-girtin/lancaster-1797,lancaster-1797.jpg,/romanticism/lancaster-1797.jpg
Neo-Expressionism,Nathan Oliveira,Standing Woman,1961,https://use2-uploads5.wikiart.org/images/nathan-oliveira/standing-woman-1961.jpg,https://www.wikiart.org/en/nathan-oliveira/standing-woman-1961,standing-woman-1961.jpg,/neo_expressionism/standing-woman-1961.jpg
Art Informel,Fritz Winter,Untitled,1964,https://use2-uploads5.wikiart.org/images/fritz-winter/untitled-1964.jpg,https://www.wikiart.org/en/fritz-winter/untitled-1964,untitled-1964.jpg,/art_informel/untitled-1964.jpg
Cubism,Amadeo de Souza-Cardoso,Stronghold,1912,https://use2-uploads0.wikiart.org/images/amadeo-de-souza-cardoso/stronghold-1912.jpg,https://www.wikiart.org/en/amadeo-de-souza-cardoso/stronghold-1912,stronghold-1912.jpg,/cubism/stronghold-1912.jpg
Romanticism,John Singleton Copley,The Victory of Lord Duncan,1789-1799,https://use2-uploads5.wikiart.org/images/john-singleton-copley/the-victory-of-lord-duncan-1799.jpg,https://www.wikiart.org/en/john-singleton-copley/the-victory-of-lord-duncan-1799,the-victory-of-lord-duncan-1799.jpg,/romanticism/the-victory-of-lord-duncan-1799.jpg
Magic Realism,Clarence Holbrook Carter,Pilgrimage #4,1977,https://use2-uploads3.wikiart.org/images/clarence-holbrook-carter/pilgrimage-4-1977.jpg,https://www.wikiart.org/en/clarence-holbrook-carter/pilgrimage-4-1977,pilgrimage-4-1977.jpg,/magic_realism/pilgrimage-4-1977.jpg
Early Renaissance,Jacopo Bellini,Virgin and Child,1465,https://use2-uploads1.wikiart.org/images/jacopo-bellini/virgin-and-child.jpg,https://www.wikiart.org/en/jacopo-bellini/virgin-and-child,virgin-and-child.jpg,/early_renaissance/virgin-and-child.jpg
Cubism,Bela Kadar,Still-life with Chessboard and Pipe,1920,https://use2-uploads3.wikiart.org/images/bela-kadar/still-life-with-chessboard-and-pipe-1920.jpg,https://www.wikiart.org/en/bela-kadar/still-life-with-chessboard-and-pipe-1920,still-life-with-chessboard-and-pipe-1920.jpg,/cubism/still-life-with-chessboard-and-pipe-1920.jpg
Lyrical Abstraction,Dan Christensen,Nathans Diamond,1987,https://use2-uploads6.wikiart.org/images/dan-christensen/nathans-diamond-1987.jpg,https://www.wikiart.org/en/dan-christensen/nathans-diamond-1987,nathans-diamond-1987.jpg,/lyrical_abstraction/nathans-diamond-1987.jpg
Realism,Vasily Tropinin,The Lacemaker,1823,https://use2-uploads8.wikiart.org/images/vasily-tropinin/the-lacemaker.jpg,https://www.wikiart.org/en/vasily-tropinin/the-lacemaker,the-lacemaker.jpg,/realism/the-lacemaker.jpg
Neo-Expressionism,Peter Alexander,Medly,1976,https://use2-uploads5.wikiart.org/images/peter-alexander/medly-1976.jpg,https://www.wikiart.org/en/peter-alexander/medly-1976,medly-1976.jpg,/neo_expressionism/medly-1976.jpg
Surrealism,William Baziotes,Untitled,1930,https://use2-uploads0.wikiart.org/images/william-baziotes/untitled-1930.jpg,https://www.wikiart.org/en/william-baziotes/untitled-1930,untitled-1930.jpg,/surrealism/untitled-1930.jpg
Post-Impressionism,J&#243;zef Pankiewicz,Feliks Jasieński Przy Fortepianie,1908,https://use2-uploads8.wikiart.org/00146/images/jozef-pankiewicz/j-zef-pankiewicz-jasie-ski-przy-fortepianie-1908.jpg,https://www.wikiart.org/en/jozef-pankiewicz/feliks-jasienski-przy-fortepianie-1908,j-zef-pankiewicz-jasie-ski-przy-fortepianie-1908.jpg,/post_impressionism/j-zef-pankiewicz-jasie-ski-przy-fortepianie-1908.jpg
Abstract Expressionism,Kazuo Nakamura,Hillside,1954,https://use2-uploads7.wikiart.org/images/kazuo-nakamura/hillside-1954.jpg,https://www.wikiart.org/en/kazuo-nakamura/hillside-1954,hillside-1954.jpg,/abstract_expressionism/hillside-1954.jpg
Baroque,Adriaen van de Venne,Early depiction of a &quot;Dutch telescope&quot;,1624,https://use2-uploads0.wikiart.org/images/adriaen-van-de-venne/early-depiction-of-a-dutch-telescope.jpg,https://www.wikiart.org/en/adriaen-van-de-venne/early-depiction-of-a-dutch-telescope,early-depiction-of-a-dutch-telescope.jpg,/baroque/early-depiction-of-a-dutch-telescope.jpg
Impressionism,Pierre-Auguste Renoir,Camille Monet and Her Son Jean in the Garden at Argenteuil,1874,https://use2-uploads1.wikiart.org/images/pierre-auguste-renoir/camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg,https://www.wikiart.org/en/pierre-auguste-renoir/camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874,camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg,/impressionism/camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg
Cubism,Max Weber,Slide Lecture at the Metropolitan Museum,1916,https://use2-uploads2.wikiart.org/images/max-weber/slide-lecture-at-the-metropolitan-museum.jpg,https://www.wikiart.org/en/max-weber/slide-lecture-at-the-metropolitan-museum,slide-lecture-at-the-metropolitan-museum.jpg,/cubism/slide-lecture-at-the-metropolitan-museum.jpg
Northern Renaissance,Joachim Patinir,Landscape with the destruction of Sodom and Gomorrah,1520,https://use2-uploads2.wikiart.org/images/joachim-patinir/landscape-with-the-destruction-of-sodom-and-gomorrah.jpg,https://www.wikiart.org/en/joachim-patinir/landscape-with-the-destruction-of-sodom-and-gomorrah,landscape-with-the-destruction-of-sodom-and-gomorrah.jpg,/northern_renaissance/landscape-with-the-destruction-of-sodom-and-gomorrah.jpg
Neo-Expressionism,Oleksandr Hnylyzkyj,Stereo Ksyu,1999,https://use2-uploads6.wikiart.org/00155/images/oleksandr-hnylyzkyj/1999-1.jpg,https://www.wikiart.org/en/oleksandr-hnylyzkyj/stereo-ksyu-1999,1999-1.jpg,/neo_expressionism/1999-1.jpg
High Renaissance,Raphael,The School of Athens,1510-1511,https://use2-uploads5.wikiart.org/images/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511.jpg,https://www.wikiart.org/en/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511,school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511.jpg,/high_renaissance/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511.jpg
Baroque,Agostino Tassi,Competition on the Capitoline Hill,1630,https://use2-uploads4.wikiart.org/00120/images/agostino-tassi/competition-on-the-capitoline-hill-1630.jpg,https://www.wikiart.org/en/agostino-tassi/competition-on-the-capitoline-hill-1630,competition-on-the-capitoline-hill-1630.jpg,/baroque/competition-on-the-capitoline-hill-1630.jpg
High Renaissance,Dosso Dossi,A Personification Of Geometry,XVI cent.,https://use2-uploads2.wikiart.org/images/dosso-dossi/a-personification-of-geometry.jpg,https://www.wikiart.org/en/dosso-dossi/a-personification-of-geometry,a-personification-of-geometry.jpg,/high_renaissance/a-personification-of-geometry.jpg
Surrealism,Andre Masson,The Metamorphosis of the Lovers,1938,https://use2-uploads4.wikiart.org/images/andre-masson/no-name-1(5).jpg,https://www.wikiart.org/en/andre-masson/no-name-9,no-name-1(5).jpg,/surrealism/no-name-1(5).jpg
Abstract Expressionism,Richard Pousette-Dart,Illumination Gothic,1958,https://use2-uploads7.wikiart.org/images/richard-pousette-dart/illumination-gothic-1958.jpg,https://www.wikiart.org/en/richard-pousette-dart/illumination-gothic-1958,illumination-gothic-1958.jpg,/abstract_expressionism/illumination-gothic-1958.jpg
Abstract Expressionism,William Scott,Painting,1959,https://use2-uploads6.wikiart.org/images/william-scott/painting-1959.jpg,https://www.wikiart.org/en/william-scott/painting-1959,painting-1959.jpg,/abstract_expressionism/painting-1959.jpg
